Team,Score
Durham,159.14285714285714
Hampshire,161.79591836734693
Surrey,155.7906976744186
Worcestershire,168.05882352941177
Gloucestershire,154.63636363636363
Yorkshire,160.32432432432432
Kent,157.575
Leicestershire,156.27027027027026
Nottinghamshire,168.41176470588235
Sussex,157.33333333333334
Derbyshire,150.47619047619048
Lancashire,156.15384615384616
Middlesex,153.7037037037037
Northamptonshire,163.0810810810811
Warwickshire,159.6
Glamorgan,153.7741935483871
Essex,167.3409090909091
Eastern Cape,116.0
Titans,155.725
Dolphins,157.17857142857142
Eagles,152.08333333333334
Somerset,180.33333333333334
Bloomfield Cricket and Athletic Club,124.16666666666667
Burgher Recreation Club,132.4
Chilaw Marians Cricket Club,155.75
Colombo Cricket Club,161.75
Colts Cricket Club,157.55555555555554
Kurunegala Youth Cricket Club,148.0
Moors Sports Club,144.85714285714286
Nondescripts Cricket Club,159.55555555555554
Lions,156.8108108108108
Warriors,145.0857142857143
Faisalabad Wolves,149.58620689655172
Lahore Eagles,165.07692307692307
Lahore Lions,159.52631578947367
Karachi Zebras,159.11111111111111
England,157.76470588235293
Sri Lanka Air Force Sports Club,143.0
Tamil Union Cricket and Athletic Club,155.625
Badureliya Sports Club,155.0
Police Sports Club,174.0
Ragama Cricket Club,150.625
Galle Cricket Club,109.0
Sebastianites Cricket and Athletic Club,139.0
Sinhalese Sports Club,158.25
Australia,157.54545454545453
Victoria,167.41666666666666
New South Wales,137.5
Canterbury,161.9
Auckland,164.25714285714287
New Zealand,154.34615384615384
Cape Cobras,155.15384615384616
South Africa,159.5185185185185
Abbottabad Rhinos,165.0
Hyderabad Hawks,160.28571428571428
Islamabad Leopards,135.33333333333334
Peshawar Panthers,146.0
Nevis,104.0
St Vincent,96.0
Antigua,146.0
Guyana,139.57142857142858
Grenada,122.0
Northern Districts,159.875
Bangladesh,145.13333333333333
Western Australia,169.875
Queensland,170.14285714285714
Tasmania,161.28571428571428
South Australia,163.375
Central Districts,165.9090909090909
Otago,169.0
Wellington,166.35294117647058
Saracens Sports Club,142.5
Sri Lanka Army,128.5
Panadura Sports Club,133.66666666666666
Gujarat,153.84615384615384
Karnataka,134.33333333333334
Madhya Pradesh,143.3181818181818
Orissa,140.66666666666666
Railways,140.92307692307693
Bengal,154.76
Delhi,145.93939393939394
Haryana,138.15
Rajasthan,152.45454545454547
Andhra,130.69230769230768
Mumbai,154.0
Baroda,148.71428571428572
Goa,154.9
Himachal Pradesh,138.23076923076923
Uttar Pradesh,151.14285714285714
Jharkhand,130.9
Punjab,131.8
Tamil Nadu,172.0
Pakistan,153.42105263157896
India,148.1818181818182
Montserrat,70.0
Barbados,120.84615384615384
Antigua and Barbuda,153.0
Jamaica,117.36363636363636
Easterns (Zimbabwe),144.25
Northerns (Zimbabwe),198.5
Centrals,117.0
Kandurata,141.66666666666666
Ruhuna,150.625
Basnahira North,126.0
Basnahira South,160.625
Delhi Daredevils,156.4375
Kolkata Knight Riders,150.42857142857142
Rajasthan Royals,156.4102564102564
Chennai Super Kings,167.34426229508196
Kings XI Punjab,169.25
