Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
Book of Love: The Definitive Reason Why Men Are Dogs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anderssons älskarinna,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bad Blood,None.,0,0,0,0,0,0,0,0,0,0,0,0
Who Are You?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,2,1
Skeletons in the Closet,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Cheerleader Ninjas,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
The Girl from Paris,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,2,3
The Final Curtain,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Crush,None.,0,0,0,0,0,0,0,0,0,0,0,0
Happy Birthday,None.,0,0,0,0,0,0,0,0,0,0,0,0
Run Like Hell,None.,0,0,0,0,0,0,0,0,0,0,0,0
Crazy/Beautiful,5 nominations.,0,5,0,0,0,0,0,0,0,0,5,0
A Death in the Family,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Anniversary Party,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0,5,2
Life as We Know It,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,1,0,0,0,0,0,0,13,13
100 Centre Street,None.,0,0,0,0,0,0,0,0,0,0,0,0
90-60-90,None.,0,0,0,0,0,0,0,0,0,0,0,0
Like Cat and Mouse,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0,4,5
The Abduction Club,None.,0,0,0,0,0,0,0,0,0,0,0,0
In Love and War,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Sign of Four,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Mole: The Cappuccino Years,None.,0,0,0,0,0,0,0,0,0,0,0,0
Amores querer con alevosía,None.,0,0,0,0,0,0,0,0,0,0,0,0
Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,1,0,0,0,0,0,34,14
Romeo,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,2,3
The Kiss,None.,0,0,0,0,0,0,0,0,0,0,0,0
Avoir su...,None.,0,0,0,0,0,0,0,0,0,0,0,0
Academia de baile Gloria,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Cet amour-là,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Weakest Link,None.,0,0,0,0,0,0,0,0,0,0,0,0
Return to Never Land,5 nominations.,0,5,0,0,0,0,0,0,0,0,5,0
Agnes,None.,0,0,0,0,0,0,0,0,0,0,0,0
All Souls,None.,0,0,0,0,0,0,0,0,0,0,0,0
Better Luck Tomorrow,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,2,1
The Life and Lyrics of Kirsty MacColl,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Passage: A Journey of Black Women and Depression,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Grande Família,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0,44,22
El lado oscuro del corazón 2,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,3,1
Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0,8,1
25 minuten,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aftershock,None.,0,0,0,0,0,0,0,0,0,0,0,0
Doppelganger,None.,0,0,0,0,0,0,0,0,0,0,0,0
Van Wilder: Party Liaison,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
Abogados,None.,0,0,0,0,0,0,0,0,0,0,0,0
Passion and Prejudice,None.,0,0,0,0,0,0,0,0,0,0,0,0
Chains of Love,None.,0,0,0,0,0,0,0,0,0,0,0,0
Black Box BRD,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0,1,6
Des parents pas comme les autres,None.,0,0,0,0,0,0,0,0,0,0,0,0
Die Todesfahrt der Linie 834,None.,0,0,0,0,0,0,0,0,0,0,0,0
